dat;prazd
01.01.2024;Новый Год
07.01.2024;Рождество Христово
11.01.2024;День заповедников и национальных парков России
12.01.2024;День работника прокуратуры Российской Федерации
13.01.2024;День Российской печати
14.01.2024;Старый Новый год
14.01.2024;День создания трубопроводных войск России
15.01.2024;День образования Следственного комитета Российской федерации
19.01.2024;Крещение Господне
20.01.2024;День Республики Крым
21.01.2024;День инженерных войск России
25.01.2024;День российского студенчества (Татьянин день)
25.01.2024;День штурмана Военно-Морского Флота России
27.01.2024;День воинской славы России - День полного освобождения Ленинграда от фашистской блокады
27.01.2024;День памяти жертв Холокоста
31.01.2024;Международный день ювелира
01.02.2024;День работника лифтового хозяйства
02.02.2024;День воинской славы России - День разгрома советскими войсками немецко-фашистских войск в Сталинградской битве
07.02.2024;День российского бизнес-образования
08.02.2024;День российской науки
08.02.2024;День военного топографа в России
09.02.2024;День гражданской авиации России
10.02.2024;День зимних видов спорта в России
10.02.2024;День дипломатического работника в России
14.02.2024;День Святого Валентина (день влюбленных)
15.02.2024;День памяти о россиянах, исполнявших служебный долг за пределами России
16.02.2024;День архива Минэнерго
17.02.2024;День российских студенческих отрядов
17.02.2024;День Службы горючего Вооруженных Сил России
18.02.2024;День транспортной полиции России
18.02.2024;День продовольственной и вещевой службы ВС России
21.02.2024;Международный день родного языка
23.02.2024;День защитника Отечества
27.02.2024;День Сил специальных операций в России
01.03.2024;День Забайкальского края
01.03.2024;День эксперта-криминалиста в России
01.03.2024;День хостинг-провайдера в России
01.03.2024;День кошек в России
05.03.2024;День театрального кассира
08.03.2024;Международный женский день
10.03.2024;День архивов в России
11.03.2024;День работников геодезии и картографии России
11.03.2024;День работника органов наркоконтроля России
11.03.2024;День сотрудников частных охранных агентств в России
12.03.2024;День работника уголовно-исполнительной системы России
18.03.2024;День воссоединения Крыма с Россией
18.03.2024;День работников бытового обслуживания населения и жилищно-коммунального хозяйства в России
19.03.2024;День моряка-подводника в России
22.03.2024;Всемирный день водных ресурсов
23.03.2024;День работников гидрометеорологической службы России
24.03.2024;День штурманской службы ВВС России
25.03.2024;День работника культуры России
27.03.2024;Всемирный день театра
29.03.2024;День специалиста юридической службы ВС России
01.04.2024;День смеха (День дурака)
02.04.2024;День единения народов России и Беларуси
05.04.2024;День принятия Степного Уложения (Конституции) Республики Калмыкия
06.04.2024;День работников следственных органов МВД России
07.04.2024;День памяти погибших подводников
08.04.2024;День Российской анимации
08.04.2024;День войск противовоздушной обороны России
08.04.2024;День сотрудников военных комиссариатов в России
11.04.2024;День конституции Республики Крым
12.04.2024;День космонавтики
13.04.2024;День мецената и благотворителя в России
15.04.2024;День специалиста по радиоэлектронной борьбе ВС России
17.04.2024;День ветеранов органов внутренних дел и внутренних войск МВД России
18.04.2024;Международный день памятников и исторических мест
19.04.2024;День российской полиграфии
19.04.2024;День работника ломоперерабатывающей отрасли России
20.04.2024;Национальный день донора в России
21.04.2024;День главного бухгалтера в России
21.04.2024;День местного самоуправления в России
